fold_month,fold_start,fold_end,horizon,n_test,rmse_xgb,rmse_persistence,skill
2020-08,2020-08-01,2020-08-31,6,25,9.12572491742512,7.547184905645283,-0.2091561332489804
2020-08,2020-08-01,2020-08-31,7,25,7.131103407448377,7.712327793863536,0.07536302941864348
2020-09,2020-09-01,2020-09-30,1,26,6.263650416086653,5.677214918493859,-0.10329633561738993
2020-09,2020-09-01,2020-09-30,2,26,7.133400719575056,7.780646601566064,0.08318664439286205
2020-09,2020-09-01,2020-09-30,3,26,7.683331583260857,9.053261205860487,0.15131891055046853
2020-09,2020-09-01,2020-09-30,4,26,9.558187407711747,9.19657126743022,-0.03932075659133916
2020-09,2020-09-01,2020-09-30,5,26,8.317189898887078,9.399263473600143,0.11512323042675654
2020-09,2020-09-01,2020-09-30,6,26,7.994123560172513,7.6006072631883015,-0.051774323203109374
2020-09,2020-09-01,2020-09-30,7,26,7.762478820071819,5.710988059467872,-0.35921818418144214
2020-10,2020-10-01,2020-10-31,1,30,11.91589269823745,10.815112882751926,-0.10178162978225225
2020-10,2020-10-01,2020-10-31,2,30,10.953681766703847,14.24312699749134,0.23094965251428756
2020-10,2020-10-01,2020-10-31,3,30,10.7535859791889,14.514360704718161,0.2591071561496161
2020-10,2020-10-01,2020-10-31,4,30,9.224163794797661,14.100827398891646,0.34584237265944406
2020-10,2020-10-01,2020-10-31,5,30,14.808016937704991,17.534727447743997,0.15550344413193729
2020-10,2020-10-01,2020-10-31,6,30,15.472200578917308,18.317568979898326,0.1553354816953888
2020-10,2020-10-01,2020-10-31,7,30,16.000620501808612,18.122729742876302,0.11709655615770853
2020-11,2020-11-01,2020-11-30,1,28,15.043663701588802,17.613914953808536,0.14592163405807668
2020-11,2020-11-01,2020-11-30,2,28,14.950501291516707,21.656407827707714,0.30964999318175535
2020-11,2020-11-01,2020-11-30,3,28,16.081671534045746,19.738468604659857,0.18526245089504134
2020-11,2020-11-01,2020-11-30,4,28,15.25154829935417,20.396078054371138,0.25223132316432917
2020-11,2020-11-01,2020-11-30,5,28,11.329979943980927,18.04953501577573,0.37228410958629965
2020-11,2020-11-01,2020-11-30,6,28,11.568499309442954,16.27772360357202,0.2893048443884171
2020-11,2020-11-01,2020-11-30,7,28,15.768503217968046,15.33087454406024,-0.02854557792186485
2020-12,2020-12-01,2020-12-31,1,29,9.588140536442186,10.018947566727135,0.04299922995062444
2020-12,2020-12-01,2020-12-31,2,29,14.043813591745199,11.431957626426621,-0.22846970314873238
2020-12,2020-12-01,2020-12-31,3,29,10.170143142972165,10.012061691297394,-0.015789100841455905
2020-12,2020-12-01,2020-12-31,4,29,20.372966250872643,9.575471537862446,-1.1276201563876764
2020-12,2020-12-01,2020-12-31,5,29,17.435118198308622,13.279488980612427,-0.3129359287667819
2020-12,2020-12-01,2020-12-31,6,29,12.581885798849543,13.720108575020273,0.082960187227895
2020-12,2020-12-01,2020-12-31,7,29,11.286618366265346,12.708943362030942,0.11191528321818744
2021-01,2021-01-01,2021-01-31,1,15,7.89830881623395,5.285199460127624,-0.494420196592396
2021-01,2021-01-01,2021-01-31,2,15,17.681151890497976,16.035377555060354,-0.10263396229908284
2021-01,2021-01-01,2021-01-31,3,15,21.100071316971654,21.792965225809297,0.03179438418123348
2021-01,2021-01-01,2021-01-31,4,15,20.634788883298267,22.29200155511688,0.07434113386907681
2021-01,2021-01-01,2021-01-31,5,15,18.453439204443086,21.699462358931076,0.14959002673870347
2021-01,2021-01-01,2021-01-31,6,15,19.314793053186232,20.933227175951632,0.07731412405559135
2021-01,2021-01-01,2021-01-31,7,15,18.53552727370581,22.104298224553524,0.16145144779504972
2021-02,2021-02-01,2021-02-28,1,25,23.93656815252419,29.87507322166759,0.19877792516459392
2021-02,2021-02-01,2021-02-28,2,25,24.308831032882196,30.907604242321984,0.21349999041349332
2021-02,2021-02-01,2021-02-28,3,25,21.608710074995567,29.86436002997553,0.2764382008083742
2021-02,2021-02-01,2021-02-28,4,25,20.9389231995114,30.93153730418196,0.3230558509395377
2021-02,2021-02-01,2021-02-28,5,25,22.01487779927709,33.431721463304875,0.34149733140601424
2021-02,2021-02-01,2021-02-28,6,25,21.79041512507357,30.8966017548856,0.2947310096448421
2021-02,2021-02-01,2021-02-28,7,25,20.836228370942404,32.458589001988365,0.35806734021414155
