fold_month,fold_start,fold_end,horizon,n_origins_valid,rmse_sarima,rmse_persistence,skill
2020-11,2020-11-01,2020-11-30,1,26,13.902063924528125,16.33895769201752,0.14914621932584793
2020-11,2020-11-01,2020-11-30,2,26,15.82093369911071,22.689373995500453,0.3027161656267744
2020-11,2020-11-01,2020-11-30,3,27,8.785895221187147,17.486502731472,0.4975613273788362
2020-11,2020-11-01,2020-11-30,4,27,13.724289594738694,19.980546094194278,0.3131173927860488
2020-11,2020-11-01,2020-11-30,5,27,14.548014834690873,21.01234205219681,0.30764429788206793
2020-11,2020-11-01,2020-11-30,6,27,9.035167805308753,17.76909510191053,0.4915234707513444
2020-11,2020-11-01,2020-11-30,7,27,7.847150462802253,15.157200953366711,0.48228234969338146
2020-12,2020-12-01,2020-12-31,1,27,8.537495257643435,10.075639856531124,0.15265974377703162
2020-12,2020-12-01,2020-12-31,2,27,8.970601398301083,10.884919911578656,0.17586886525836976
2020-12,2020-12-01,2020-12-31,3,27,9.879853889576857,10.07012449810862,0.018894563673716336
2020-12,2020-12-01,2020-12-31,4,28,10.106356088558073,10.703804397102395,0.05581644491803839
2020-12,2020-12-01,2020-12-31,5,27,10.189086905422638,10.489854004562554,0.028672191148618298
2020-12,2020-12-01,2020-12-31,6,26,10.462253402910124,14.31244751417988,0.2690101820429541
2020-12,2020-12-01,2020-12-31,7,25,10.292299758297315,13.638181696985855,0.2453319667553635
2021-01,2021-01-01,2021-01-31,1,13,5.4338195682920025,3.49725166820594,-0.5537399317560425
2021-01,2021-01-01,2021-01-31,2,11,7.003724562774867,4.502524544378106,-0.5555105793970145
2021-01,2021-01-01,2021-01-31,3,10,8.069730989856653,5.263078946776307,-0.5332718873235696
2021-01,2021-01-01,2021-01-31,4,9,9.136913500528172,5.70574758954123,-0.6013525584756589
2021-01,2021-01-01,2021-01-31,5,8,10.151065514907682,5.958187643906492,-0.7037169893917816
2021-01,2021-01-01,2021-01-31,6,8,10.81086635980978,5.0373604199024715,-1.1461371549068327
2021-01,2021-01-01,2021-01-31,7,8,11.389568913963787,3.758324094593227,-2.030491417796822
2021-02,2021-02-01,2021-02-28,1,25,24.20511035738267,29.87507322166759,0.18978908678197481
2021-02,2021-02-01,2021-02-28,2,25,22.57535923520075,30.907604242321984,0.26958559912294455
2021-02,2021-02-01,2021-02-28,3,25,20.712754796762958,29.86436002997553,0.30643902042524596
2021-02,2021-02-01,2021-02-28,4,25,20.86062627051691,30.93153730418196,0.32558714863174476
2021-02,2021-02-01,2021-02-28,5,25,21.02964826363822,33.431721463304875,0.37096723282046196
2021-02,2021-02-01,2021-02-28,6,25,20.786897675618945,30.8966017548856,0.3272108744991036
2021-02,2021-02-01,2021-02-28,7,25,20.8313728533279,32.458589001988365,0.3582169313628575
2021-03,2021-03-01,2021-03-31,1,31,6.145060200354137,6.00537393748568,-0.02326021065841255
